Instance,ILS_Gen_Reward,ILS_Gen_Time
c101,345.8,30.02924861907959
r101,115.8,30.0056272983551
rc101,132.2,30.00573992729187
pr01,174.0,24.502817344665527
t101,644.4,30.049589252471925
